Book_ID,Title,Authors,LoCC,Keyword,Snippet
145,Middlemarch,"Eliot, George",PR,opium,"is scarcely included in their service of me. You have some fresh instructions, I presume.” The chief new instruction that Lydgate had to give was on the administration of extremely moderate doses of opium, in case of the sleeplessness continuing after several hours. He had taken the precaution of bringing opium in his pocket, and he gave minute directions to Bulstrode as to the doses, and the point at which they should cease. He insisted on the risk of not ceasing; and repeated his order that no alcohol should be given. “From what I see of the case,” he ended, “narcotism"
145,Middlemarch,"Eliot, George",PR,opium,"up with the patient to-night, but leave him to Mrs. Abel, who, if necessary, could call her husband. At six o’clock, Raffles, having had only fitful perturbed snatches of sleep, from which he waked with fresh restlessness and perpetual cries that he was sinking away, Bulstrode began to administer the opium according to Lydgate’s directions. At the end of half an hour or more he called Mrs. Abel and told her that he found himself unfit for further watching. He must now consign the patient to her care; and he proceeded to repeat to her Lydgate’s directions as to the quantity"
145,Middlemarch,"Eliot, George",PR,opium,"Lydgate’s directions as to the quantity of each dose. Mrs. Abel had not before known anything of Lydgate’s prescriptions; she had simply prepared and brought whatever Bulstrode ordered, and had done what he pointed out to her. She began now to ask what else she should do besides administering the opium. “Nothing at present, except the offer of the soup or the soda-water: you can come to me for further directions. Unless there is any important change, I shall not come into the room again to-night. You will ask your husband for help if necessary. I must go to bed early.”"
145,Middlemarch,"Eliot, George",PR,opium,"in her heart. He had sat an hour and a half in this conflict by the firelight only, when a sudden thought made him rise and light the bed-candle, which he had brought down with him. The thought was, that he had not told Mrs. Abel when the doses of opium must cease. He took hold of the candlestick, but stood motionless for a long while. She might already have given him more than Lydgate had prescribed. But it was excusable in him, that he should forget part of an order, in his present wearied condition. He walked up-stairs, candle in"
145,Middlemarch,"Eliot, George",PR,opium,"the door; he opened it an inch, so that he could hear her speak low. “If you please, sir, should I have no brandy nor nothing to give the poor creetur? He feels sinking away, and nothing else will he swaller—and but little strength in it, if he did—only the opium. And he says more and more he’s sinking down through the earth.” To her surprise, Mr. Bulstrode did not answer. A struggle was going on within him. “I think he must die for want o’ support, if he goes on in that way. When I nursed my poor master, Mr."
145,Middlemarch,"Eliot, George",PR,opium,"Bulstrode went up. At a glance he knew that Raffles was not in the sleep which brings revival, but in the sleep which streams deeper and deeper into the gulf of death. He looked round the room and saw a bottle with some brandy in it, and the almost empty opium phial. He put the phial out of sight, and carried the brandy-bottle down-stairs with him, locking it again in the wine-cooler. While breakfasting he considered whether he should ride to Middlemarch at once, or wait for Lydgate’s arrival. He decided to wait, and told Mrs. Abel that she might go"
145,Middlemarch,"Eliot, George",PR,opium,"some difference in his private inclination and professional behavior, though not in his fulfilment of any publicly recognized obligation. “It has come to my knowledge since,” he added, “that Hawley sent some one to examine the housekeeper at Stone Court, and she said that she gave the patient all the opium in the phial I left, as well as a good deal of brandy. But that would not have been opposed to ordinary prescriptions, even of first-rate men. The suspicions against me had no hold there: they are grounded on the knowledge that I took money, that Bulstrode had strong motives"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"and then, obliged to deceive his patients, as Mr. Candy deceived you. I don’t defend the folly of playing you a trick under the circumstances. I only plead with you for a more accurate and more merciful construction of motives.” “How was it done?” I asked. “Who gave me the laudanum, without my knowing it myself?” “I am not able to tell you. Nothing relating to that part of the matter dropped from Mr. Candy’s lips, all through his illness. Perhaps your own memory may point to the person to be suspected.” “No.” “It is useless, in that case, to pursue"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"it myself?” “I am not able to tell you. Nothing relating to that part of the matter dropped from Mr. Candy’s lips, all through his illness. Perhaps your own memory may point to the person to be suspected.” “No.” “It is useless, in that case, to pursue the inquiry. The laudanum was secretly given to you in some way. Let us leave it there, and go on to matters of more immediate importance. Read my notes, if you can. Familiarise your mind with what has happened in the past. I have something very bold and very startling to propose to you,"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"Lady Verinder’s medicine chest ... five-and-twenty minims ... without his knowing it ... tomorrow morning ... Well, Mr. Blake ... medicine today ... never ... without it ... out, Mr. Candy ... excellent ... without it ... down on him ... truth ... something besides ... excellent ... dose of laudanum, sir ... bed ... what ... medicine now.” There, the first of the two sheets of paper came to an end. I handed it back to Ezra Jennings. “That is what you heard at his bedside?” I said. “Literally and exactly what I heard,” he answered—“except that the repetitions are"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"says to me, I have heard of the blind leading the blind, and now I know what it means. Witty—but I can give him a night’s rest in spite of his teeth. He really wants sleep; and Lady Verinder’s medicine chest is at my disposal. Give him five-and-twenty minims of laudanum tonight, without his knowing it; and then call tomorrow morning. ‘Well, Mr. Blake, will you try a little medicine today? You will never sleep without it.’—‘There you are out, Mr. Candy: I have had an excellent night’s rest without it.’ Then, come down on him with the truth! ‘You have"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"Blake, will you try a little medicine today? You will never sleep without it.’—‘There you are out, Mr. Candy: I have had an excellent night’s rest without it.’ Then, come down on him with the truth! ‘You have had something besides an excellent night’s rest; you had a dose of laudanum, sir, before you went to bed. What do you say to the art of medicine, now?’” Admiration of the ingenuity which had woven this smooth and finished texture out of the ravelled skein was naturally the first impression that I felt, on handing the manuscript back to Ezra Jennings. He"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"words in which my sense of surprise expressed itself, by asking me if the conclusion which he had drawn from his notes was also the conclusion at which my own mind had arrived. “Do you believe as I believe,” he said, “that you were acting under the influence of the laudanum in doing all that you did, on the night of Miss Verinder’s birthday, in Lady Verinder’s house?” “I am too ignorant of the influence of laudanum to have an opinion of my own,” I answered. “I can only follow your opinion, and feel convinced that you are right.” “Very well."
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"at which my own mind had arrived. “Do you believe as I believe,” he said, “that you were acting under the influence of the laudanum in doing all that you did, on the night of Miss Verinder’s birthday, in Lady Verinder’s house?” “I am too ignorant of the influence of laudanum to have an opinion of my own,” I answered. “I can only follow your opinion, and feel convinced that you are right.” “Very well. The next question is this. You are convinced; and I am convinced—how are we to carry our conviction to the minds of other people?” I pointed"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"it is—and if I can enlighten you, I will.” “All that you have explained to me,” I said, “I understand perfectly. But I own I am puzzled on one point, which you have not made clear to me yet.” “What is the point?” “I don’t understand the effect of the laudanum on me. I don’t understand my walking downstairs, and along corridors, and my opening and shutting the drawers of a cabinet, and my going back again to my own room. All these are active proceedings. I thought the influence of opium was first to stupefy you, and then to send"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"are active proceedings. I thought the influence of opium was first to stupefy you, and then to send you to sleep.” “The common error about opium, Mr. Blake! I am, at this moment, exerting my intelligence (such as it is) in your service, under the influence of a dose of laudanum, some ten times larger than the dose Mr. Candy administered to you. But don’t trust to my authority—even on a question which comes within my own personal experience. I anticipated the objection you have just made: and I have again provided myself with independent testimony which will carry its due"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"water, and a dry biscuit. “I am beginning, as well as you could possibly wish,” he said. “A miserable, restless night; and a total failure of appetite this morning. Exactly what happened last year, when I gave up my cigars. The sooner I am ready for my second dose of laudanum, the better I shall be pleased.” “You shall have it on the earliest possible day,” I answered. “In the meantime, we must be as careful of your health as we can. If we allow you to become exhausted, we shall fail in that way. You must get an appetite for"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"the attempt. Travelling by the afternoon train from London, she would delay her arrival until nine o’clock. At that hour, I have undertaken to see Mr. Blake safely into his bedchamber; and so to leave Miss Verinder free to occupy her own rooms until the time comes for administering the laudanum. When that has been done, there can be no objection to her watching the result, with the rest of us. On the next morning, she shall show Mr. Blake (if she likes) her correspondence with me, and shall satisfy him in that way that he was acquitted in her estimation,"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"strong odour of stale tobacco as he turned over the leaves. Having found a passage of which he was apparently in search, he requested me to join him in the corner; still mysteriously confidential, and still speaking under his breath. “In respect to this hocus-pocus of yours, sir, with the laudanum and Mr. Franklin Blake,” he began. “While the workpeople are in the house, my duty as a servant gets the better of my feelings as a man. When the workpeople are gone, my feelings as a man get the better of my duty as a servant. Very good. Last night,"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"I hope to revive the old impressions of places and things as vividly as possible in his mind. We are now going to dine, exactly at the hour at which the birthday dinner was given last year. My object, of course, is a purely medical one in this case. The laudanum must find the process of digestion, as nearly as may be, where the laudanum found it last year. At a reasonable time after dinner I propose to lead the conversation back again—as inartificially as I can—to the subject of the Diamond, and of the Indian conspiracy to steal it. When"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"possible in his mind. We are now going to dine, exactly at the hour at which the birthday dinner was given last year. My object, of course, is a purely medical one in this case. The laudanum must find the process of digestion, as nearly as may be, where the laudanum found it last year. At a reasonable time after dinner I propose to lead the conversation back again—as inartificially as I can—to the subject of the Diamond, and of the Indian conspiracy to steal it. When I have filled his mind with these topics, I shall have done all that"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"have done all that it is in my power to do, before the time comes for giving him the second dose. Half-past eight.—I have only this moment found an opportunity of attending to the most important duty of all; the duty of looking in the family medicine chest, for the laudanum which Mr. Candy used last year. Ten minutes since, I caught Betteredge at an unoccupied moment, and told him what I wanted. Without a word of objection, without so much as an attempt to produce his pocket-book, he led the way (making allowances for me at every step) to the"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"followed—even in the case of a person so sensitive as Mr. Blake. I think it highly probable that Mr. Candy gave more than he supposed himself to have given—knowing, as I do, that he has a keen relish of the pleasures of the table, and that he measured out the laudanum on the birthday, after dinner. In any case, I shall run the risk of enlarging the dose to forty minims. On this occasion, Mr. Blake knows beforehand that he is going to take the laudanum—which is equivalent, physiologically speaking, to his having (unconsciously to himself) a certain capacity in him"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"giving free expression to her one dominant interest—the interest in Mr. Blake. “What is he doing? Has he spoken of me? Is he in good spirits? How does he bear the sight of the house, after what happened in it last year? When are you going to give him the laudanum? May I see you pour it out? I am so interested; I am so excited—I have ten thousand things to say to you, and they all crowd together so that I don’t know what to say first. Do you wonder at the interest I take in this?” “No,” I said."
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"bag. I thought of Mrs. Merridew and her embroidery, and of Betteredge and his conscience. There is a wonderful sameness in the solid side of the English character—just as there is a wonderful sameness in the solid expression of the English face. “When are you going to give me the laudanum?” asked Mr. Blake impatiently. “You must wait a little longer,” I said. “I will stay and keep you company till the time comes.” It was then not ten o’clock. Inquiries which I had made, at various times, of Betteredge and Mr. Blake, had led me to the conclusion that the"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"Blake impatiently. “You must wait a little longer,” I said. “I will stay and keep you company till the time comes.” It was then not ten o’clock. Inquiries which I had made, at various times, of Betteredge and Mr. Blake, had led me to the conclusion that the dose of laudanum given by Mr. Candy could not possibly have been administered before eleven. I had accordingly determined not to try the second dose until that time. We talked a little; but both our minds were preoccupied by the coming ordeal. The conversation soon flagged—then dropped altogether. Mr. Blake idly turned over"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"this part of the house until she comes and sets me free. She has no idea that the chief scene of the experiment is my sitting-room—or she would have remained in it for the whole night! I am alone, and very anxious. Pray let me see you measure out the laudanum; I want to have something to do with it, even in the unimportant character of a mere looker-on.—R.V.” I followed Betteredge out of the room, and told him to remove the medicine-chest into Miss Verinder’s sitting-room. The order appeared to take him completely by surprise. He looked as if he"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"fetch the medicine-chest, without another word. I went back into Mr. Blake’s room, and knocked at the door of communication. Mr. Bruff opened it, with his papers in his hand—immersed in Law; impenetrable to Medicine. “I am sorry to disturb you,” I said. “But I am going to prepare the laudanum for Mr. Blake; and I must request you to be present, and to see what I do.” “Yes?” said Mr. Bruff, with nine-tenths of his attention riveted on his papers, and with one-tenth unwillingly accorded to me. “Anything else?” “I must trouble you to return here with me, and to"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"looked at Betteredge—and yawned wearily. Miss Verinder joined me with a glass jug of cold water, which she had taken from a side-table. “Let me pour out the water,” she whispered. “I _must_ have a hand in it!” I measured out the forty minims from the bottle, and poured the laudanum into a medicine glass. “Fill it till it is three parts full,” I said, and handed the glass to Miss Verinder. I then directed Betteredge to lock up the medicine chest; informing him that I had done with it now. A look of unutterable relief overspread the old servant’s countenance."
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"dramatic interest which the experiment was now assuming, proved (to my great amusement) to be too much for Betteredge’s capacity of self-restraint. His hand trembled as he held the candle, and he whispered anxiously, “Are you sure, miss, it’s the right drawer?” I led the way out again, with the laudanum and water in my hand. At the door, I stopped to address a last word to Miss Verinder. “Don’t be long in putting out the lights,” I said. “I will put them out at once,” she answered. “And I will wait in my bedroom, with only one candle alight.” She"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"wait in my bedroom, with only one candle alight.” She closed the sitting-room door behind us. Followed by Mr. Bruff and Betteredge, I went back to Mr. Blake’s room. We found him moving restlessly from side to side of the bed, and wondering irritably whether he was to have the laudanum that night. In the presence of the two witnesses, I gave him the dose, and shook up his pillows, and told him to lie down again quietly and wait. His bed, provided with light chintz curtains, was placed, with the head against the wall of the room, so as to"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"whispered back. “Say nothing, and sit still.” Betteredge dropped to the lowest depth of familiarity with me, without a struggle to save himself. He answered by a wink! Looking next towards Mr. Blake, I found him as restless as ever in his bed; fretfully wondering why the influence of the laudanum had not begun to assert itself yet. To tell him, in his present humour, that the more he fidgeted and wondered, the longer he would delay the result for which we were now waiting, would have been simply useless. The wiser course to take was to dismiss the idea of"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"far away from the question of the opium, at the all-important time when his eyes first told me that the opium was beginning to lay its hold on his brain. I looked at my watch. It wanted five minutes to twelve, when the premonitory symptoms of the working of the laudanum first showed themselves to me. At this time, no unpractised eyes would have detected any change in him. But, as the minutes of the new morning wore away, the swiftly-subtle progress of the influence began to show itself more plainly. The sublime intoxication of opium gleamed in his eyes; the"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"and moral conditions of last year—and I warned him that this was the next thing to a downright impossibility. We have only partially reproduced the conditions, and the experiment has been only partially successful in consequence. It is also possible that I may have administered too large a dose of laudanum. But I myself look upon the first reason that I have given, as the true reason why we have to lament a failure, as well as to rejoice over a success.” After saying those words, I put the writing materials before Mr. Bruff, and asked him if he had any"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"eighteen hundred and fifty. Failing to raise these sums, at these times, he was a ruined man. Under those circumstances, what takes place next? You exasperate Mr. Candy, the doctor, on the sore subject of his profession; and he plays you a practical joke, in return, with a dose of laudanum. He trusts the administration of the dose, prepared in a little phial, to Mr. Godfrey Ablewhite—who has himself confessed the share he had in the matter, under circumstances which shall presently be related to you. Mr. Godfrey is all the readier to enter into the conspiracy, having himself suffered from"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"to you. Mr. Godfrey is all the readier to enter into the conspiracy, having himself suffered from your sharp tongue in the course of the evening. He joins Betteredge in persuading you to drink a little brandy and water before you go to bed. He privately drops the dose of laudanum into your cold grog. And you drink the mixture. Let us now shift the scene, if you please to Mr. Luker’s house at Lambeth. And allow me to remark, by way of preface, that Mr. Bruff and I, together, have found a means of forcing the money-lender to make a"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"Luker wasted no more words on him. He got up, and rang the bell for the servant to show the gentleman out. Upon this compulsion, Mr. Godfrey made an effort, and came out with a new and amended version of the affair, to the following effect. After privately slipping the laudanum into your brandy and water, he wished you good-night, and went into his own room. It was the next room to yours; and the two had a door of communication between them. On entering his own room Mr. Godfrey (as he supposed) closed his door. His money troubles kept him"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"you with the candle in your hand, just leaving your bedchamber. He heard you say to yourself, in a voice quite unlike your own voice, “How do I know? The Indians may be hidden in the house.” Up to that time, he had simply supposed himself (in giving you the laudanum) to be helping to make you the victim of a harmless practical joke. It now occurred to him, that the laudanum had taken some effect on you, which had not been foreseen by the doctor, any more than by himself. In the fear of an accident happening he followed you"
155,The Moonstone,"Collins, Wilkie",PR,laudanum,"unlike your own voice, “How do I know? The Indians may be hidden in the house.” Up to that time, he had simply supposed himself (in giving you the laudanum) to be helping to make you the victim of a harmless practical joke. It now occurred to him, that the laudanum had taken some effect on you, which had not been foreseen by the doctor, any more than by himself. In the fear of an accident happening he followed you softly to see what you would do. He followed you to Miss Verinder’s sitting-room, and saw you go in. You left"
155,The Moonstone,"Collins, Wilkie",PR,opium,"you have the portrait of the man before you, as in a picture: a character that braved everything; and a face, handsome as it was, that looked possessed by the devil. We heard different rumours about him from time to time. Sometimes they said he was given up to smoking opium and collecting old books; sometimes he was reported to be trying strange things in chemistry; sometimes he was seen carousing and amusing himself among the lowest people in the lowest slums of London. Anyhow, a solitary, vicious, underground life was the life the Colonel led. Once, and once only, after"
