Unnamed: 0,Book_ID,Keyword,Snippet,Etext Number,Authors,LoCC,Published Year,Author Gender,Assigned_Gender,Character_Name,Agency,Power,Sentiment
12,133,opium,"light, he inscribed some notes in his book, put it back in his pocket, and came out. In answer to Theron's marvelling stare, he pointed toward a pipe of odd construction lying on the floor beneath the sleeper. “This is one of my regular afternoon duties,” he explained, again with the whimsical half-smile. “I am increasing his dose monthly by regular stages, and the results promise to be rather remarkable. Heretofore, observations have been made mostly on diseased or morbidly deteriorated subjects. This fellow of mine is strong as an ox, perfectly nourished, and watched over intelligently. He can assimilate opium enough to kill you and me and every other vertebrate creature on the premises, without turning a hair, and he hasn't got even fairly under way yet.” The thing was unpleasant, and the young minister turned away. They walked together up the path toward the house. His mind was full now of the hostile things which Celia had said about the doctor. He had vaguely sympathized with her then, upon no special knowledge of his own. Now he felt that his sentiments were vehemently in accord with hers. The doctor WAS a beast. And yet--as they moved slowly along through",133,"Frederic, Harold",PS,1896,male,Male,Anonymous,0.6666666666666666,0.0,0.325
15,140,morphine,"took Jurgis upstairs to her room, and they sat and talked. By daylight, Jurgis was able to observe that the color on her cheeks was not the old natural one of abounding health; her complexion was in reality a parchment yellow, and there were black rings under her eyes. “Have you been sick?” he asked. “Sick?” she said. “Hell!” (Marija had learned to scatter her conversation with as many oaths as a longshoreman or a mule driver.) “How can I ever be anything but sick, at this life?” She fell silent for a moment, staring ahead of her gloomily. “It’s morphine ,” she said, at last. “I seem to take more of it every day.” “What’s that for?” he asked. “It’s the way of it; I don’t know why. If it isn’t that, it’s drink. If the girls didn’t booze they couldn’t stand it any time at all. And the madame always gives them dope when they first come, and they learn to like it; or else they take it for headaches and such things, and get the habit that way. I’ve got it, I know; I’ve tried to quit, but I never will while I’m here.” “How long are you",140,"Sinclair, Upton",PS,1905,male,Female,Anonymous,1.0,0.3333333333333333,0.191666666666825
17,145,opium,"it may confidently await those messages from the universe which summon it to its peculiar work, only placing itself in an attitude of receptivity towards all sublime chances. The attitudes of receptivity are various, and Will had sincerely tried many of them. He was not excessively fond of wine, but he had several times taken too much, simply as an experiment in that form of ecstasy; he had fasted till he was faint, and then supped on lobster; he had made himself ill with doses of opium. Nothing greatly original had resulted from these measures; and the effects of the opium had convinced him that there was an entire dissimilarity between his constitution and De Quincey’s. The superadded circumstance which would evolve the genius had not yet come; the universe had not yet beckoned. Even Caesar’s fortune at one time was but a grand presentiment. We know what a masquerade all development is, and what effective shapes may be disguised in helpless embryos. In fact, the world is full of hopeful analogies and handsome dubious eggs called possibilities. Will saw clearly enough the pitiable instances of long incubation producing no chick, and but for gratitude would have laughed at Casaubon, whose",145,"Eliot, George",PR,1871,female,Male,Will,1.0,0.0,0.2777777777776667
19,145,opium,"of miracle-workers. Some of that twice-blessed mercy was always with Lydgate in his work at the Hospital or in private houses, serving better than any opiate to quiet and sustain him under his anxieties and his sense of mental degeneracy. Mr. Farebrother’s suspicion as to the opiate was true, however. Under the first galling pressure of foreseen difficulties, and the first perception that his marriage, if it were not to be a yoked loneliness, must be a state of effort to go on loving without too much care about being loved, he had once or twice tried a dose of opium . But he had no hereditary constitutional craving after such transient escapes from the hauntings of misery. He was strong, could drink a great deal of wine, but did not care about it; and when the men round him were drinking spirits, he took sugar and water, having a contemptuous pity even for the earliest stages of excitement from drink. It was the same with gambling. He had looked on at a great deal of gambling in Paris, watching it as if it had been a disease. He was no more tempted by such winning than he was by drink.",145,"Eliot, George",PR,1871,female,Male,Farebrother,0.6666666666666666,-0.3333333333333333,0.3222222222221667
20,145,opium,"of gambling in Paris, watching it as if it had been a disease. He was no more tempted by such winning than he was by drink. He had said to himself that the only winning he cared for must be attained by a conscious process of high, difficult combination tending towards a beneficent result. The power he longed for could not be represented by agitated fingers clutching a heap of coin, or by the half-barbarous, half-idiotic triumph in the eyes of a man who sweeps within his arms the ventures of twenty chapfallen companions. But just as he had tried opium , so his thought now began to turn upon gambling—not with appetite for its excitement, but with a sort of wistful inward gaze after that easy way of getting money, which implied no asking and brought no responsibility. If he had been in London or Paris at that time, it is probable that such thoughts, seconded by opportunity, would have taken him into a gambling-house, no longer to watch the gamblers, but to watch with them in kindred eagerness. Repugnance would have been surmounted by the immense need to win, if chance would be kind enough to let him. An",145,"Eliot, George",PR,1871,female,Male,Anonymous,1.0,-0.3333333333333333,0.24666666666679998
21,145,opium,"disease. Still, new symptoms may arise. I shall come again to-morrow morning.” After waiting for the note to be carried to Mrs. Bulstrode, Lydgate rode away, forming no conjectures, in the first instance, about the history of Raffles, but rehearsing the whole argument, which had lately been much stirred by the publication of Dr. Ware’s abundant experience in America, as to the right way of treating cases of alcoholic poisoning such as this. Lydgate, when abroad, had already been interested in this question: he was strongly convinced against the prevalent practice of allowing alcohol and persistently administering large doses of opium ; and he had repeatedly acted on this conviction with a favorable result. “The man is in a diseased state,” he thought, “but there’s a good deal of wear in him still. I suppose he is an object of charity to Bulstrode. It is curious what patches of hardness and tenderness lie side by side in men’s dispositions. Bulstrode seems the most unsympathetic fellow I ever saw about some people, and yet he has taken no end of trouble, and spent a great deal of money, on benevolent objects. I suppose he has some test by which he finds out",145,"Eliot, George",PR,1871,female,Male,Ware,0.75,-0.25,0.28888888888883335
22,145,opium,"here yourself?” said Lydgate, looking at Bulstrode with an abrupt question, which made him uneasy, though in reality it was not due to any suspicious conjecture. “Yes, I think so,” said Bulstrode, governing himself and speaking with deliberation. “Mrs. Bulstrode is advised of the reasons which detain me. Mrs. Abel and her husband are not experienced enough to be left quite alone, and this kind of responsibility is scarcely included in their service of me. You have some fresh instructions, I presume.” The chief new instruction that Lydgate had to give was on the administration of extremely moderate doses of opium , in case of the sleeplessness continuing after several hours. He had taken the precaution of bringing opium in his pocket, and he gave minute directions to Bulstrode as to the doses, and the point at which they should cease. He insisted on the risk of not ceasing; and repeated his order that no alcohol should be given. “From what I see of the case,” he ended, “narcotism is the only thing I should be much afraid of. He may wear through even without much food. There’s a good deal of strength in him.” “You look ill yourself, Mr. Lydgate—a",145,"Eliot, George",PR,1871,female,Male,Lydgate,1.0,0.8,0.42500000000000004
24,145,opium,"at the persistent life in this man, whom he would fain have seen sinking into the silence of death: imperious will stirred murderous impulses towards this brute life, over which will, by itself, had no power. He said inwardly that he was getting too much worn; he would not sit up with the patient to-night, but leave him to Mrs. Abel, who, if necessary, could call her husband. At six o’clock, Raffles, having had only fitful perturbed snatches of sleep, from which he waked with fresh restlessness and perpetual cries that he was sinking away, Bulstrode began to administer the opium according to Lydgate’s directions. At the end of half an hour or more he called Mrs. Abel and told her that he found himself unfit for further watching. He must now consign the patient to her care; and he proceeded to repeat to her Lydgate’s directions as to the quantity of each dose. Mrs. Abel had not before known anything of Lydgate’s prescriptions; she had simply prepared and brought whatever Bulstrode ordered, and had done what he pointed out to her. She began now to ask what else she should do besides administering the opium. “Nothing at present, except the",145,"Eliot, George",PR,1871,female,Male,Abel,0.625,0.25,0.18333333333340002
25,145,opium,"Bulstrode began to administer the opium according to Lydgate’s directions. At the end of half an hour or more he called Mrs. Abel and told her that he found himself unfit for further watching. He must now consign the patient to her care; and he proceeded to repeat to her Lydgate’s directions as to the quantity of each dose. Mrs. Abel had not before known anything of Lydgate’s prescriptions; she had simply prepared and brought whatever Bulstrode ordered, and had done what he pointed out to her. She began now to ask what else she should do besides administering the opium . “Nothing at present, except the offer of the soup or the soda-water: you can come to me for further directions. Unless there is any important change, I shall not come into the room again to-night. You will ask your husband for help if necessary. I must go to bed early.” “You’ve much need, sir, I’m sure,” said Mrs. Abel, “and to take something more strengthening than what you’ve done.” Bulstrode went away now without anxiety as to what Raffles might say in his raving, which had taken on a muttering incoherence not likely to create any dangerous belief. At",145,"Eliot, George",PR,1871,female,Male,Abel,0.6666666666666666,0.0,0.19333333333340003
26,145,opium,"him from seeing the one probability to be, that Raffles recovered would be just the same man as before, with his strength as a tormentor renewed, obliging him to drag away his wife to spend her years apart from her friends and native place, carrying an alienating suspicion against him in her heart. He had sat an hour and a half in this conflict by the firelight only, when a sudden thought made him rise and light the bed-candle, which he had brought down with him. The thought was, that he had not told Mrs. Abel when the doses of opium must cease. He took hold of the candlestick, but stood motionless for a long while. She might already have given him more than Lydgate had prescribed. But it was excusable in him, that he should forget part of an order, in his present wearied condition. He walked up-stairs, candle in hand, not knowing whether he should straightway enter his own room and go to bed, or turn to the patient’s room and rectify his omission. He paused in the passage, with his face turned towards Raffles’s room, and he could hear him moaning and murmuring. He was not asleep, then.",145,"Eliot, George",PR,1871,female,Male,Abel,0.2,0.25,0.2939393939393909
27,145,opium,"towards Raffles’s room, and he could hear him moaning and murmuring. He was not asleep, then. Who could know that Lydgate’s prescription would not be better disobeyed than followed, since there was still no sleep? He turned into his own room. Before he had quite undressed, Mrs. Abel rapped at the door; he opened it an inch, so that he could hear her speak low. “If you please, sir, should I have no brandy nor nothing to give the poor creetur? He feels sinking away, and nothing else will he swaller—and but little strength in it, if he did—only the opium . And he says more and more he’s sinking down through the earth.” To her surprise, Mr. Bulstrode did not answer. A struggle was going on within him. “I think he must die for want o’ support, if he goes on in that way. When I nursed my poor master, Mr. Robisson, I had to give him port-wine and brandy constant, and a big glass at a time,” added Mrs. Abel, with a touch of remonstrance in her tone. But again Mr. Bulstrode did not answer immediately, and she continued, “It’s not a time to spare when people are at",145,"Eliot, George",PR,1871,female,Male,Bulstrode,0.3,0.0,0.241666666666625
28,145,opium,"cheerfulness in his tone. “He’s gone very deep, sir,” said Mrs. Abel. “He went off gradual between three and four o’clock. Would you please to go and look at him? I thought it no harm to leave him. My man’s gone afield, and the little girl’s seeing to the kettles.” Bulstrode went up. At a glance he knew that Raffles was not in the sleep which brings revival, but in the sleep which streams deeper and deeper into the gulf of death. He looked round the room and saw a bottle with some brandy in it, and the almost empty opium phial. He put the phial out of sight, and carried the brandy-bottle down-stairs with him, locking it again in the wine-cooler. While breakfasting he considered whether he should ride to Middlemarch at once, or wait for Lydgate’s arrival. He decided to wait, and told Mrs. Abel that she might go about her work—he could watch in the bed-chamber. As he sat there and beheld the enemy of his peace going irrevocably into silence, he felt more at rest than he had done for many months. His conscience was soothed by the enfolding wing of secrecy, which seemed just then like",145,"Eliot, George",PR,1871,female,Male,Raffles,0.0,0.38461538461538464,0.26153846153846155
29,145,opium,"more thorough utterance of what had gone on in his mind—entering fully into the fact that his treatment of the patient was opposed to the dominant practice, into his doubts at the last, his ideal of medical duty, and his uneasy consciousness that the acceptance of the money had made some difference in his private inclination and professional behavior, though not in his fulfilment of any publicly recognized obligation. “It has come to my knowledge since,” he added, “that Hawley sent some one to examine the housekeeper at Stone Court, and she said that she gave the patient all the opium in the phial I left, as well as a good deal of brandy. But that would not have been opposed to ordinary prescriptions, even of first-rate men. The suspicions against me had no hold there: they are grounded on the knowledge that I took money, that Bulstrode had strong motives for wishing the man to die, and that he gave me the money as a bribe to concur in some malpractices or other against the patient—that in any case I accepted a bribe to hold my tongue. They are just the suspicions that cling the most obstinately, because they lie",145,"Eliot, George",PR,1871,female,Female,Anonymous,1.0,0.5,0.2833333333335
30,145,anodyne,"that all this effect on her nervous system, which evidently involved some new turning towards himself, was due to the excitement of the new impressions which that visit had raised. CHAPTER LXXIX. “Now, I saw in my dream, that just as they had ended their talk, they drew nigh to a very miry slough, that was in the midst of the plain; and they, being heedless, did both fall suddenly into the bog. The name of the slough was Despond.”—BUNYAN. When Rosamond was quiet, and Lydgate had left her, hoping that she might soon sleep under the effect of an anodyne , he went into the drawing-room to fetch a book which he had left there, meaning to spend the evening in his work-room, and he saw on the table Dorothea’s letter addressed to him. He had not ventured to ask Rosamond if Mrs. Casaubon had called, but the reading of this letter assured him of the fact, for Dorothea mentioned that it was to be carried by herself. When Will Ladislaw came in a little later Lydgate met him with a surprise which made it clear that he had not been told of the earlier visit, and Will could not",145,"Eliot, George",PR,1871,female,Female,Rosamond,-1.0,-1.0,0.3166666666665
31,155,opium,"the world. But to give in, even when he was wrong, and had all society against him, was not the way of the Honourable John. He had kept the Diamond, in flat defiance of assassination, in India. He kept the Diamond, in flat defiance of public opinion, in England. There you have the portrait of the man before you, as in a picture: a character that braved everything; and a face, handsome as it was, that looked possessed by the devil. We heard different rumours about him from time to time. Sometimes they said he was given up to smoking opium and collecting old books; sometimes he was reported to be trying strange things in chemistry; sometimes he was seen carousing and amusing himself among the lowest people in the lowest slums of London. Anyhow, a solitary, vicious, underground life was the life the Colonel led. Once, and once only, after his return to England, I myself saw him, face to face. About two years before the time of which I am now writing, and about a year and a half before the time of his death, the Colonel came unexpectedly to my lady’s house in London. It was the night",155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,0.0,0.14285714285714285,0.312499999999875
33,155,opium,"on the Colonel’s letter. The whole thing, he declared, was simply absurd. Somewhere in his Indian wanderings, the Colonel had picked up with some wretched crystal which he took for a diamond. As for the danger of his being murdered, and the precautions devised to preserve his life and his piece of crystal, this was the nineteenth century, and any man in his senses had only to apply to the police. The Colonel had been a notorious opium-eater for years past; and, if the only way of getting at the valuable papers he possessed was by accepting a matter of opium as a matter of fact, my father was quite willing to take the ridiculous responsibility imposed on him—all the more readily that it involved no trouble to himself. The Diamond and the sealed instructions went into his banker’s strongroom, and the Colonel’s letters, periodically reporting him a living man, were received and opened by our family lawyer, Mr. Bruff, as my father’s representative. No sensible person, in a similar position, could have viewed the matter in any other way. Nothing in this world, Betteredge, is probable unless it appeals to our own trumpery experience; and we only believe in a",155,"Collins, Wilkie",PR,1868,female,Male,Bruff,0.75,-0.14285714285714285,0.17083333333325001
37,155,opium,"unreservedly as I have told it in these pages. He started to his feet, and looked at me with breathless eagerness as I approached the leading incident of my story. “It is certain that I went into the room,” I said; “it is certain that I took the Diamond. I can only meet those two plain facts by declaring that, do what I might, I did it without my own knowledge——” Ezra Jennings caught me excitedly by the arm. “Stop!” he said. “You have suggested more to me than you suppose. Have _you_ ever been accustomed to the use of opium ?” “I never tasted it in my life.” “Were your nerves out of order, at this time last year? Were you unusually restless and irritable?” “Yes.” “Did you sleep badly?” “Wretchedly. Many nights I never slept at all.” “Was the birthday night an exception? Try, and remember. Did you sleep well on that one occasion?” “I do remember! I slept soundly.” He dropped my arm as suddenly as he had taken it—and looked at me with the air of a man whose mind was relieved of the last doubt that rested on it. “This is a marked day in your",155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,1.0,0.5,0.46666666666675005
39,155,opium,"on me!” I said. “Tell me what I am to expect, before I attempt to read this.” “Willingly, Mr. Blake! Do you mind my asking you one or two more questions?” “Ask me anything you like!” He looked at me with the sad smile on his lips, and the kindly interest in his soft brown eyes. “You have already told me,” he said, “that you have never—to your knowledge—tasted opium in your life.” “To my knowledge,” I repeated. “You will understand directly why I speak with that reservation. Let us go on. You are not aware of ever having taken opium . At this time, last year, you were suffering from nervous irritation, and you slept wretchedly at night. On the night of the birthday, however, there was an exception to the rule—you slept soundly. Am I right, so far?” “Quite right!” “Can you assign any cause for the nervous suffering, and your want of sleep?” “I can assign no cause. Old Betteredge made a guess at the cause, I remember. But that is hardly worth mentioning.” “Pardon me. Anything is worth mentioning in such a case as this. Betteredge attributed your sleeplessness to something. To what?” “To my leaving off",155,"Collins, Wilkie",PR,1868,female,Male,Blake,0.5,0.0,0.25
41,155,opium,"immediately before you retired to rest on the birthday night?” “It was the subject of a conversation between Lady Verinder and her daughter——” “Which took place in your hearing?” “Yes.” Ezra Jennings took up his notes from the table, and placed them in my hands. “Mr. Blake,” he said, “if you read those notes now, by the light which my questions and your answers have thrown on them, you will make two astounding discoveries concerning yourself. You will find:—First, that you entered Miss Verinder’s sitting-room and took the Diamond, in a state of trance, produced by opium. Secondly, that the opium was given to you by Mr. Candy—without your own knowledge—as a practical refutation of the opinions which you had expressed to him at the birthday dinner.” I sat with the papers in my hand completely stupefied. “Try and forgive poor Mr. Candy,” said the assistant gently. “He has done dreadful mischief, I own; but he has done it innocently. If you will look at the notes, you will see that—but for his illness—he would have returned to Lady Verinder’s the morning after the party, and would have acknowledged the trick that he had played you. Miss Verinder would have heard",155,"Collins, Wilkie",PR,1868,female,Female,Candy,,,
42,155,opium,"that he had played you. Miss Verinder would have heard of it, and Miss Verinder would have questioned him—and the truth which has laid hidden for a year would have been discovered in a day.” I began to regain my self-possession. “Mr. Candy is beyond the reach of my resentment,” I said angrily. “But the trick that he played me is not the less an act of treachery, for all that. I may forgive, but I shall not forget it.” “Every medical man commits that act of treachery, Mr. Blake, in the course of his practice. The ignorant distrust of opium (in England) is by no means confined to the lower and less cultivated classes. Every doctor in large practice finds himself, every now and then, obliged to deceive his patients, as Mr. Candy deceived you. I don’t defend the folly of playing you a trick under the circumstances. I only plead with you for a more accurate and more merciful construction of motives.” “How was it done?” I asked. “Who gave me the laudanum, without my knowing it myself?” “I am not able to tell you. Nothing relating to that part of the matter dropped from Mr. Candy’s lips, all",155,"Collins, Wilkie",PR,1868,female,Male,Blake,1.0,0.5,0.15555555555566666
50,155,opium,"at the Opera to enjoy the music, or he wandered about the London markets on Saturday night, and interested himself in observing all the little shifts and bargainings of the poor in providing their Sunday’s dinner. So much for the capacity of a man to occupy himself actively, and to move about from place to place under the influence of opium.” “I am answered so far,” I said; “but I am not answered yet as to the effect produced by the opium on myself.” “I will try to answer you in a few words,” said Ezra Jennings. “The action of opium is comprised, in the majority of cases, in two influences—a stimulating influence first, and a sedative influence afterwards. Under the stimulating influence, the latest and most vivid impressions left on your mind—namely, the impressions relating to the Diamond—would be likely, in your morbidly sensitive nervous condition, to become intensified in your brain, and would subordinate to themselves your judgment and your will exactly as an ordinary dream subordinates to itself your judgment and your will. Little by little, under this action, any apprehensions about the safety of the Diamond which you might have felt during the day would be liable",155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,-1.0,,
54,155,opium,"familiar to the readers of these pages. He showed plainly that he was not satisfied with my reply. “With all deference to you,” he said, “and with all deference to your legal adviser, I maintain the opinion which I expressed just now. It rests, I am well aware, on a mere assumption. Pardon me for reminding you, that your opinion also rests on a mere assumption as well.” The view he took of the matter was entirely new to me. I waited anxiously to hear how he would defend it. “_I_ assume,” pursued Ezra Jennings, “that the influence of the opium —after impelling you to possess yourself of the Diamond, with the purpose of securing its safety—might also impel you, acting under the same influence and the same motive, to hide it somewhere in your own room. _You_ assume that the Hindoo conspirators could by no possibility commit a mistake. The Indians went to Mr. Luker’s house after the Diamond—and, therefore, in Mr. Luker’s possession the Diamond must be! Have you any evidence to prove that the Moonstone was taken to London at all? You can’t even guess how, or by whom, it was removed from Lady Verinder’s house! Have you",155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,1.0,0.5,0.4
