Unnamed: 0,Book_ID,Keyword,Snippet,Etext Number,Authors,LoCC,Published Year,Author Gender,Assigned_Gender,Character_Name
10,119,paregoric,"that a cow would naturally know more than a guide, he took her by the tail, and the result justified his judgment. She nibbled her leisurely way downhill till it was near milking-time, then she struck for home and towed him into Zermatt. CHAPTER XXXVIII [I Conquer the Gorner Grat] We went into camp on that wild spot to which that ram had brought us. The men were greatly fatigued. Their conviction that we were lost was forgotten in the cheer of a good supper, and before the reaction had a chance to set in, I loaded them up with paregoric and put them to bed. Next morning I was considering in my mind our desperate situation and trying to think of a remedy, when Harris came to me with a Baedeker map which showed conclusively that the mountain we were on was still in Switzerland--yes, every part of it was in Switzerland. So we were not lost, after all. This was an immense relief; it lifted the weight of two such mountains from my breast. I immediately had the news disseminated and the map was exhibited. The effect was wonderful. As soon as the men saw with their own eyes",119,"Twain, Mark",PS,1880,male,Male,Harris
11,119,paregoric,"estimate of the elevation of the several localities above sea-level is pretty correct--for Baedeker. He only misses it about a hundred and eighty or ninety thousand feet. I found my arnica invaluable. My men were suffering excruciatingly, from the friction of sitting down so much. During two or three days, not one of them was able to do more than lie down or walk about; yet so effective was the arnica, that on the fourth all were able to sit up. I consider that, more than to anything else, I owe the success of our great undertaking to arnica and paregoric . My men are being restored to health and strength, my main perplexity, now, was how to get them down the mountain again. I was not willing to expose the brave fellows to the perils, fatigues, and hardships of that fearful route again if it could be helped. First I thought of balloons; but, of course, I had to give that idea up, for balloons were not procurable. I thought of several other expedients, but upon consideration discarded them, for cause. But at last I hit it. I was aware that the movement of glaciers is an established fact, for",119,"Twain, Mark",PS,1880,male,Male,Anonymous
12,133,opium,"light, he inscribed some notes in his book, put it back in his pocket, and came out. In answer to Theron's marvelling stare, he pointed toward a pipe of odd construction lying on the floor beneath the sleeper. “This is one of my regular afternoon duties,” he explained, again with the whimsical half-smile. “I am increasing his dose monthly by regular stages, and the results promise to be rather remarkable. Heretofore, observations have been made mostly on diseased or morbidly deteriorated subjects. This fellow of mine is strong as an ox, perfectly nourished, and watched over intelligently. He can assimilate opium enough to kill you and me and every other vertebrate creature on the premises, without turning a hair, and he hasn't got even fairly under way yet.” The thing was unpleasant, and the young minister turned away. They walked together up the path toward the house. His mind was full now of the hostile things which Celia had said about the doctor. He had vaguely sympathized with her then, upon no special knowledge of his own. Now he felt that his sentiments were vehemently in accord with hers. The doctor WAS a beast. And yet--as they moved slowly along through",133,"Frederic, Harold",PS,1896,male,Male,Anonymous
13,139,opium,"crag. Behind it all, a blue tropical sky. A thin green line of vegetation fringed the summit of the ruddy cliff. ""Well?"" he asked. ""It is no doubt a curious formation,"" said I ""but I am not geologist enough to say that it is wonderful."" ""Wonderful!"" he repeated. ""It is unique. It is incredible. No one on earth has ever dreamed of such a possibility. Now the next."" I turned it over, and gave an exclamation of surprise. There was a full-page picture of the most extraordinary creature that I had ever seen. It was the wild dream of an opium smoker, a vision of delirium. The head was like that of a fowl, the body that of a bloated lizard, the trailing tail was furnished with upward-turned spikes, and the curved back was edged with a high serrated fringe, which looked like a dozen cocks' wattles placed behind each other. In front of this creature was an absurd mannikin, or dwarf, in human form, who stood staring at it. ""Well, what do you think of that?"" cried the Professor, rubbing his hands with an air of triumph. ""It is monstrous--grotesque."" ""But what made him draw such an animal?"" ""Trade gin,",139,"Doyle, Arthur Conan",PR,1900,male,Unknown,Anonymous
14,140,opium,"who had no legs, and pushed themselves upon a wheeled platform—some who had been favored with blindness, and were led by pretty little dogs. Some less fortunate had mutilated themselves or burned themselves, or had brought horrible sores upon themselves with chemicals; you might suddenly encounter upon the street a man holding out to you a finger rotting and discolored with gangrene—or one with livid scarlet wounds half escaped from their filthy bandages. These desperate ones were the dregs of the city’s cesspools, wretches who hid at night in the rain-soaked cellars of old ramshackle tenements, in “stale-beer dives” and opium joints, with abandoned women in the last stages of the harlot’s progress—women who had been kept by Chinamen and turned away at last to die. Every day the police net would drag hundreds of them off the streets, and in the detention hospital you might see them, herded together in a miniature inferno, with hideous, beastly faces, bloated and leprous with disease, laughing, shouting, screaming in all stages of drunkenness, barking like dogs, gibbering like apes, raving and tearing themselves in delirium. CHAPTER XXIV In the face of all his handicaps, Jurgis was obliged to make the price of a",140,"Sinclair, Upton",PS,1905,male,Unknown,Anonymous
15,140,morphine,"took Jurgis upstairs to her room, and they sat and talked. By daylight, Jurgis was able to observe that the color on her cheeks was not the old natural one of abounding health; her complexion was in reality a parchment yellow, and there were black rings under her eyes. “Have you been sick?” he asked. “Sick?” she said. “Hell!” (Marija had learned to scatter her conversation with as many oaths as a longshoreman or a mule driver.) “How can I ever be anything but sick, at this life?” She fell silent for a moment, staring ahead of her gloomily. “It’s morphine ,” she said, at last. “I seem to take more of it every day.” “What’s that for?” he asked. “It’s the way of it; I don’t know why. If it isn’t that, it’s drink. If the girls didn’t booze they couldn’t stand it any time at all. And the madame always gives them dope when they first come, and they learn to like it; or else they take it for headaches and such things, and get the habit that way. I’ve got it, I know; I’ve tried to quit, but I never will while I’m here.” “How long are you",140,"Sinclair, Upton",PS,1905,male,Female,Anonymous
17,145,opium,"it may confidently await those messages from the universe which summon it to its peculiar work, only placing itself in an attitude of receptivity towards all sublime chances. The attitudes of receptivity are various, and Will had sincerely tried many of them. He was not excessively fond of wine, but he had several times taken too much, simply as an experiment in that form of ecstasy; he had fasted till he was faint, and then supped on lobster; he had made himself ill with doses of opium. Nothing greatly original had resulted from these measures; and the effects of the opium had convinced him that there was an entire dissimilarity between his constitution and De Quincey’s. The superadded circumstance which would evolve the genius had not yet come; the universe had not yet beckoned. Even Caesar’s fortune at one time was but a grand presentiment. We know what a masquerade all development is, and what effective shapes may be disguised in helpless embryos. In fact, the world is full of hopeful analogies and handsome dubious eggs called possibilities. Will saw clearly enough the pitiable instances of long incubation producing no chick, and but for gratitude would have laughed at Casaubon, whose",145,"Eliot, George",PR,1871,female,Male,Will
18,145,opium,"guinea when everybody knows that the seats have been sold wholesale. Wait for wisdom and conscience in public agents—fiddlestick! The only conscience we can trust to is the massive sense of wrong in a class, and the best wisdom that will work is the wisdom of balancing claims. That’s my text—which side is injured? I support the man who supports their claims; not the virtuous upholder of the wrong.” “That general talk about a particular case is mere question begging, Ladislaw. When I say, I go in for the dose that cures, it doesn’t follow that I go in for opium in a given case of gout.” “I am not begging the question we are upon—whether we are to try for nothing till we find immaculate men to work with. Should you go on that plan? If there were one man who would carry you a medical reform and another who would oppose it, should you inquire which had the better motives or even the better brains?” “Oh, of course,” said Lydgate, seeing himself checkmated by a move which he had often used himself, “if one did not work with such men as are at hand, things must come to a",145,"Eliot, George",PR,1871,female,Unknown,Anonymous
19,145,opium,"of miracle-workers. Some of that twice-blessed mercy was always with Lydgate in his work at the Hospital or in private houses, serving better than any opiate to quiet and sustain him under his anxieties and his sense of mental degeneracy. Mr. Farebrother’s suspicion as to the opiate was true, however. Under the first galling pressure of foreseen difficulties, and the first perception that his marriage, if it were not to be a yoked loneliness, must be a state of effort to go on loving without too much care about being loved, he had once or twice tried a dose of opium . But he had no hereditary constitutional craving after such transient escapes from the hauntings of misery. He was strong, could drink a great deal of wine, but did not care about it; and when the men round him were drinking spirits, he took sugar and water, having a contemptuous pity even for the earliest stages of excitement from drink. It was the same with gambling. He had looked on at a great deal of gambling in Paris, watching it as if it had been a disease. He was no more tempted by such winning than he was by drink.",145,"Eliot, George",PR,1871,female,Male,Farebrother
20,145,opium,"of gambling in Paris, watching it as if it had been a disease. He was no more tempted by such winning than he was by drink. He had said to himself that the only winning he cared for must be attained by a conscious process of high, difficult combination tending towards a beneficent result. The power he longed for could not be represented by agitated fingers clutching a heap of coin, or by the half-barbarous, half-idiotic triumph in the eyes of a man who sweeps within his arms the ventures of twenty chapfallen companions. But just as he had tried opium , so his thought now began to turn upon gambling—not with appetite for its excitement, but with a sort of wistful inward gaze after that easy way of getting money, which implied no asking and brought no responsibility. If he had been in London or Paris at that time, it is probable that such thoughts, seconded by opportunity, would have taken him into a gambling-house, no longer to watch the gamblers, but to watch with them in kindred eagerness. Repugnance would have been surmounted by the immense need to win, if chance would be kind enough to let him. An",145,"Eliot, George",PR,1871,female,Male,Anonymous
21,145,opium,"disease. Still, new symptoms may arise. I shall come again to-morrow morning.” After waiting for the note to be carried to Mrs. Bulstrode, Lydgate rode away, forming no conjectures, in the first instance, about the history of Raffles, but rehearsing the whole argument, which had lately been much stirred by the publication of Dr. Ware’s abundant experience in America, as to the right way of treating cases of alcoholic poisoning such as this. Lydgate, when abroad, had already been interested in this question: he was strongly convinced against the prevalent practice of allowing alcohol and persistently administering large doses of opium ; and he had repeatedly acted on this conviction with a favorable result. “The man is in a diseased state,” he thought, “but there’s a good deal of wear in him still. I suppose he is an object of charity to Bulstrode. It is curious what patches of hardness and tenderness lie side by side in men’s dispositions. Bulstrode seems the most unsympathetic fellow I ever saw about some people, and yet he has taken no end of trouble, and spent a great deal of money, on benevolent objects. I suppose he has some test by which he finds out",145,"Eliot, George",PR,1871,female,Male,Ware
22,145,opium,"here yourself?” said Lydgate, looking at Bulstrode with an abrupt question, which made him uneasy, though in reality it was not due to any suspicious conjecture. “Yes, I think so,” said Bulstrode, governing himself and speaking with deliberation. “Mrs. Bulstrode is advised of the reasons which detain me. Mrs. Abel and her husband are not experienced enough to be left quite alone, and this kind of responsibility is scarcely included in their service of me. You have some fresh instructions, I presume.” The chief new instruction that Lydgate had to give was on the administration of extremely moderate doses of opium , in case of the sleeplessness continuing after several hours. He had taken the precaution of bringing opium in his pocket, and he gave minute directions to Bulstrode as to the doses, and the point at which they should cease. He insisted on the risk of not ceasing; and repeated his order that no alcohol should be given. “From what I see of the case,” he ended, “narcotism is the only thing I should be much afraid of. He may wear through even without much food. There’s a good deal of strength in him.” “You look ill yourself, Mr. Lydgate—a",145,"Eliot, George",PR,1871,female,Male,Lydgate
24,145,opium,"at the persistent life in this man, whom he would fain have seen sinking into the silence of death: imperious will stirred murderous impulses towards this brute life, over which will, by itself, had no power. He said inwardly that he was getting too much worn; he would not sit up with the patient to-night, but leave him to Mrs. Abel, who, if necessary, could call her husband. At six o’clock, Raffles, having had only fitful perturbed snatches of sleep, from which he waked with fresh restlessness and perpetual cries that he was sinking away, Bulstrode began to administer the opium according to Lydgate’s directions. At the end of half an hour or more he called Mrs. Abel and told her that he found himself unfit for further watching. He must now consign the patient to her care; and he proceeded to repeat to her Lydgate’s directions as to the quantity of each dose. Mrs. Abel had not before known anything of Lydgate’s prescriptions; she had simply prepared and brought whatever Bulstrode ordered, and had done what he pointed out to her. She began now to ask what else she should do besides administering the opium. “Nothing at present, except the",145,"Eliot, George",PR,1871,female,Male,Abel
25,145,opium,"Bulstrode began to administer the opium according to Lydgate’s directions. At the end of half an hour or more he called Mrs. Abel and told her that he found himself unfit for further watching. He must now consign the patient to her care; and he proceeded to repeat to her Lydgate’s directions as to the quantity of each dose. Mrs. Abel had not before known anything of Lydgate’s prescriptions; she had simply prepared and brought whatever Bulstrode ordered, and had done what he pointed out to her. She began now to ask what else she should do besides administering the opium . “Nothing at present, except the offer of the soup or the soda-water: you can come to me for further directions. Unless there is any important change, I shall not come into the room again to-night. You will ask your husband for help if necessary. I must go to bed early.” “You’ve much need, sir, I’m sure,” said Mrs. Abel, “and to take something more strengthening than what you’ve done.” Bulstrode went away now without anxiety as to what Raffles might say in his raving, which had taken on a muttering incoherence not likely to create any dangerous belief. At",145,"Eliot, George",PR,1871,female,Male,Abel
26,145,opium,"him from seeing the one probability to be, that Raffles recovered would be just the same man as before, with his strength as a tormentor renewed, obliging him to drag away his wife to spend her years apart from her friends and native place, carrying an alienating suspicion against him in her heart. He had sat an hour and a half in this conflict by the firelight only, when a sudden thought made him rise and light the bed-candle, which he had brought down with him. The thought was, that he had not told Mrs. Abel when the doses of opium must cease. He took hold of the candlestick, but stood motionless for a long while. She might already have given him more than Lydgate had prescribed. But it was excusable in him, that he should forget part of an order, in his present wearied condition. He walked up-stairs, candle in hand, not knowing whether he should straightway enter his own room and go to bed, or turn to the patient’s room and rectify his omission. He paused in the passage, with his face turned towards Raffles’s room, and he could hear him moaning and murmuring. He was not asleep, then.",145,"Eliot, George",PR,1871,female,Male,Abel
27,145,opium,"towards Raffles’s room, and he could hear him moaning and murmuring. He was not asleep, then. Who could know that Lydgate’s prescription would not be better disobeyed than followed, since there was still no sleep? He turned into his own room. Before he had quite undressed, Mrs. Abel rapped at the door; he opened it an inch, so that he could hear her speak low. “If you please, sir, should I have no brandy nor nothing to give the poor creetur? He feels sinking away, and nothing else will he swaller—and but little strength in it, if he did—only the opium . And he says more and more he’s sinking down through the earth.” To her surprise, Mr. Bulstrode did not answer. A struggle was going on within him. “I think he must die for want o’ support, if he goes on in that way. When I nursed my poor master, Mr. Robisson, I had to give him port-wine and brandy constant, and a big glass at a time,” added Mrs. Abel, with a touch of remonstrance in her tone. But again Mr. Bulstrode did not answer immediately, and she continued, “It’s not a time to spare when people are at",145,"Eliot, George",PR,1871,female,Male,Bulstrode
28,145,opium,"cheerfulness in his tone. “He’s gone very deep, sir,” said Mrs. Abel. “He went off gradual between three and four o’clock. Would you please to go and look at him? I thought it no harm to leave him. My man’s gone afield, and the little girl’s seeing to the kettles.” Bulstrode went up. At a glance he knew that Raffles was not in the sleep which brings revival, but in the sleep which streams deeper and deeper into the gulf of death. He looked round the room and saw a bottle with some brandy in it, and the almost empty opium phial. He put the phial out of sight, and carried the brandy-bottle down-stairs with him, locking it again in the wine-cooler. While breakfasting he considered whether he should ride to Middlemarch at once, or wait for Lydgate’s arrival. He decided to wait, and told Mrs. Abel that she might go about her work—he could watch in the bed-chamber. As he sat there and beheld the enemy of his peace going irrevocably into silence, he felt more at rest than he had done for many months. His conscience was soothed by the enfolding wing of secrecy, which seemed just then like",145,"Eliot, George",PR,1871,female,Male,Raffles
29,145,opium,"more thorough utterance of what had gone on in his mind—entering fully into the fact that his treatment of the patient was opposed to the dominant practice, into his doubts at the last, his ideal of medical duty, and his uneasy consciousness that the acceptance of the money had made some difference in his private inclination and professional behavior, though not in his fulfilment of any publicly recognized obligation. “It has come to my knowledge since,” he added, “that Hawley sent some one to examine the housekeeper at Stone Court, and she said that she gave the patient all the opium in the phial I left, as well as a good deal of brandy. But that would not have been opposed to ordinary prescriptions, even of first-rate men. The suspicions against me had no hold there: they are grounded on the knowledge that I took money, that Bulstrode had strong motives for wishing the man to die, and that he gave me the money as a bribe to concur in some malpractices or other against the patient—that in any case I accepted a bribe to hold my tongue. They are just the suspicions that cling the most obstinately, because they lie",145,"Eliot, George",PR,1871,female,Female,Anonymous
30,145,anodyne,"that all this effect on her nervous system, which evidently involved some new turning towards himself, was due to the excitement of the new impressions which that visit had raised. CHAPTER LXXIX. “Now, I saw in my dream, that just as they had ended their talk, they drew nigh to a very miry slough, that was in the midst of the plain; and they, being heedless, did both fall suddenly into the bog. The name of the slough was Despond.”—BUNYAN. When Rosamond was quiet, and Lydgate had left her, hoping that she might soon sleep under the effect of an anodyne , he went into the drawing-room to fetch a book which he had left there, meaning to spend the evening in his work-room, and he saw on the table Dorothea’s letter addressed to him. He had not ventured to ask Rosamond if Mrs. Casaubon had called, but the reading of this letter assured him of the fact, for Dorothea mentioned that it was to be carried by herself. When Will Ladislaw came in a little later Lydgate met him with a surprise which made it clear that he had not been told of the earlier visit, and Will could not",145,"Eliot, George",PR,1871,female,Female,Rosamond
31,155,opium,"the world. But to give in, even when he was wrong, and had all society against him, was not the way of the Honourable John. He had kept the Diamond, in flat defiance of assassination, in India. He kept the Diamond, in flat defiance of public opinion, in England. There you have the portrait of the man before you, as in a picture: a character that braved everything; and a face, handsome as it was, that looked possessed by the devil. We heard different rumours about him from time to time. Sometimes they said he was given up to smoking opium and collecting old books; sometimes he was reported to be trying strange things in chemistry; sometimes he was seen carousing and amusing himself among the lowest people in the lowest slums of London. Anyhow, a solitary, vicious, underground life was the life the Colonel led. Once, and once only, after his return to England, I myself saw him, face to face. About two years before the time of which I am now writing, and about a year and a half before the time of his death, the Colonel came unexpectedly to my lady’s house in London. It was the night",155,"Collins, Wilkie",PR,1868,female,Male,Anonymous
33,155,opium,"on the Colonel’s letter. The whole thing, he declared, was simply absurd. Somewhere in his Indian wanderings, the Colonel had picked up with some wretched crystal which he took for a diamond. As for the danger of his being murdered, and the precautions devised to preserve his life and his piece of crystal, this was the nineteenth century, and any man in his senses had only to apply to the police. The Colonel had been a notorious opium-eater for years past; and, if the only way of getting at the valuable papers he possessed was by accepting a matter of opium as a matter of fact, my father was quite willing to take the ridiculous responsibility imposed on him—all the more readily that it involved no trouble to himself. The Diamond and the sealed instructions went into his banker’s strongroom, and the Colonel’s letters, periodically reporting him a living man, were received and opened by our family lawyer, Mr. Bruff, as my father’s representative. No sensible person, in a similar position, could have viewed the matter in any other way. Nothing in this world, Betteredge, is probable unless it appeals to our own trumpery experience; and we only believe in a",155,"Collins, Wilkie",PR,1868,female,Male,Bruff
35,155,opium,"existence of some importance to me still. I want to provide for a person—very dear to me—whom I shall never see again. My own little patrimony is hardly sufficient to make her independent of the world. The hope, if I could only live long enough, of increasing it to a certain sum, has impelled me to resist the disease by such palliative means as I could devise. The one effectual palliative in my case, is—opium. To that all-potent and all-merciful drug I am indebted for a respite of many years from my sentence of death. But even the virtues of opium have their limit. The progress of the disease has gradually forced me from the use of opium to the abuse of it. I am feeling the penalty at last. My nervous system is shattered; my nights are nights of horror. The end is not far off now. Let it come—I have not lived and worked in vain. The little sum is nearly made up; and I have the means of completing it, if my last reserves of life fail me sooner than I expect. I hardly know how I have wandered into telling you this. I don’t think I am",155,"Collins, Wilkie",PR,1868,female,Unknown,Anonymous
37,155,opium,"unreservedly as I have told it in these pages. He started to his feet, and looked at me with breathless eagerness as I approached the leading incident of my story. “It is certain that I went into the room,” I said; “it is certain that I took the Diamond. I can only meet those two plain facts by declaring that, do what I might, I did it without my own knowledge——” Ezra Jennings caught me excitedly by the arm. “Stop!” he said. “You have suggested more to me than you suppose. Have _you_ ever been accustomed to the use of opium ?” “I never tasted it in my life.” “Were your nerves out of order, at this time last year? Were you unusually restless and irritable?” “Yes.” “Did you sleep badly?” “Wretchedly. Many nights I never slept at all.” “Was the birthday night an exception? Try, and remember. Did you sleep well on that one occasion?” “I do remember! I slept soundly.” He dropped my arm as suddenly as he had taken it—and looked at me with the air of a man whose mind was relieved of the last doubt that rested on it. “This is a marked day in your",155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings
